settlement_evidence_id,case_id,instruction_id,trade_id,netting_group_id,business_date,trade_date,contractual_settle_date,expected_settle_date,account_id,counterparty_id,security_id,direction,instruction_qty,settled_qty,pending_qty,settlement_location,match_status,settlement_status,delivery_obligation_confirmed,counterparty_status,incoming_receive_linked,reject_code,fail_reason_hint,last_status_ts,confidence_score
SET-EV-2001,UC-01-FIRM-SHORT,SI-DLV-1001,TRD-5001,NET-9001,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-001,CP-ALPHA,SEC-US-0001,DELIVER,150000,0,150000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,N,,FIRM_SHORT_FREE_INVENTORY,2026-05-18T14:18:00Z,0.99
SET-EV-2002,UC-01-FIRM-SHORT,SI-REC-1002,TRD-5002,NET-9002,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-REC-001,CP-BRAVO,SEC-US-0001,RECEIVE,60000,0,60000,DTC,MATCHED,PENDING,N,COUNTERPARTY_PENDING_DELIVERY,Y,,INCOMING_RECEIVE_NOT_SETTLED,2026-05-18T14:16:00Z,0.93
SET-EV-2003,UC-01-COVERED,SI-DLV-1003,TRD-5003,NET-9003,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-002,CP-BRAVO,SEC-US-0002,DELIVER,200000,0,200000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,N,,NO_POSITION_SHORT,2026-05-18T14:10:00Z,0.99
SET-EV-2004,UC-01-ENCUMBERED,SI-DLV-1004,TRD-5004,NET-9004,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-003,CP-CHARLIE,SEC-US-0003,DELIVER,300000,0,300000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,N,,FREE_INVENTORY_ENCUMBERED,2026-05-18T14:12:00Z,0.98
SET-EV-2005,UC-01-INCOMING-COVER,SI-DLV-1005,TRD-5005,NET-9005,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-004,CP-DELTA,SEC-US-0004,DELIVER,250000,0,250000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,Y,,SHORT_PENDING_INCOMING_RECEIVE,2026-05-18T14:13:00Z,0.96
SET-EV-2006,UC-01-INCOMING-COVER,SI-REC-1006,TRD-5006,NET-9005,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-REC-001,CP-ECHO,SEC-US-0004,RECEIVE,180000,0,180000,DTC,MATCHED,PENDING,N,EXPECTED_TO_DELIVER,Y,,PENDING_RECEIVE_EXPECTED_TO_COVER,2026-05-18T14:14:00Z,0.95
SET-EV-2007,UC-01-REALIGNMENT,SI-DLV-1007,TRD-5007,NET-9007,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-005,CP-ECHO,SEC-US-0005,DELIVER,175000,0,175000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,N,,REALIGNMENT_REQUIRED,2026-05-18T14:11:00Z,0.95
SET-EV-2008,UC-02-CP-SHORT,SI-REC-1008,TRD-5008,NET-9008,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-REC-001,CP-GOLF,SEC-US-0007,RECEIVE,225000,0,225000,DTC,MATCHED,PENDING,N,COUNTERPARTY_PENDING_DELIVERY,N,,COUNTERPARTY_SHORT,2026-05-18T14:07:00Z,0.97
SET-EV-2009,UC-03-REJECT,SI-DLV-1009,TRD-5009,NET-9009,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-006,CP-FOXTROT,SEC-US-0006,DELIVER,100000,0,100000,DTC,UNMATCHED,REJECTED,N,REJECTED_BY_COUNTERPARTY,N,UNALLEGED_OR_CANCELLED,COUNTERPARTY_REJECT,2026-05-18T14:08:00Z,0.94
SET-EV-2010,UC-04-INTERCOMPANY,SI-DLV-1010,TRD-5010,NET-9010,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-007,CP-HOTEL,SEC-US-0008,DELIVER,320000,0,320000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE,Y,,DEPENDENT_ON_INTERNAL_RECEIVE,2026-05-18T14:09:00Z,0.96
SET-EV-2011,UC-05-NETTING-MISMATCH,SI-DLV-1011,TRD-5011,NET-9011,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-008,CP-INDIA,SEC-US-0009,DELIVER,480000,0,480000,DTC,MATCHED,PENDING,Y,READY_TO_RECEIVE_NETTED,N,,NETTING_MISMATCH_GROSS_VS_NET,2026-05-18T14:05:00Z,0.98
SET-EV-2012,CONTROL-NO-FAIL,SI-DLV-1012,TRD-5012,NET-9012,2026-05-18,2026-05-17,2026-05-18,2026-05-18,ACC-DLV-009,CP-JULIET,SEC-US-0010,DELIVER,300000,300000,0,DTC,MATCHED,SETTLED,Y,COMPLETE,N,,CONTROL_OK,2026-05-18T13:55:00Z,0.99
