case_id,scenario_name,primary_reason_code,expected_commentary_category,expected_action,should_generate_qma_draft,required_tools
UC-01-FIRM-SHORT,Firm Short - Insufficient Free Inventory,FIRM_SHORT_FREE_INVENTORY,Firm Short,Desk to confirm cover or release/realignment; do not speculate beyond retrieved evidence,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-01-COVERED,Control Case - Delivery Pending but Inventory Sufficient,NO_POSITION_SHORT,No Firm Short Evidence,Flag as insufficient evidence for firm-short commentary; analyst review,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-01-ENCUMBERED,Firm Short due to Pledged or Segregated Inventory,FREE_INVENTORY_ENCUMBERED,Firm Short,Request release from pledge/segregation or alternate cover,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-01-INCOMING-COVER,Firm Short with Incoming Receive Expected to Cover,SHORT_PENDING_INCOMING_RECEIVE,Matched Short - Fail to Receive,Link incoming receive; monitor settlement before external commentary,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-01-REALIGNMENT,Firm Short requiring Inventory Realignment,REALIGNMENT_REQUIRED,Inventory Realignment Required,Initiate or recommend realignment instruction,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-02-CP-SHORT,Counterparty Short on Receive,COUNTERPARTY_SHORT,Counterparty Short,Monitor incoming receive; do not describe as firm short,N_PHASE_1,settlement_tool|reference_data_tool|trade_netting_tool
UC-03-REJECT,Rejected or Unalleged Instruction,COUNTERPARTY_REJECT,Unalleged/Rejected Receive or Delivery,Route for manual review / re-instruction as needed,N_PHASE_1,settlement_tool|reference_data_tool|trade_netting_tool
UC-04-INTERCOMPANY,Intercompany Receive Dependency,DEPENDENT_ON_INTERNAL_RECEIVE,Intercompany Dependency,Track internal receive dependency before delivery commentary,N_PHASE_1,position_tool|settlement_tool|reference_data_tool|trade_netting_tool
UC-05-NETTING-MISMATCH,Gross vs Netted Trade Mismatch,NETTING_MISMATCH_GROSS_VS_NET,Netting Mismatch,Validate gross vs net obligations before drafting external commentary,N_PHASE_1,settlement_tool|reference_data_tool|trade_netting_tool
CONTROL-NO-FAIL,Settled Control Case,CONTROL_OK,No Draft Required,No commentary needed,N_PHASE_1,settlement_tool|reference_data_tool
